Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,100.510002,100.589996,100.010002,100.290001,92.655678,70210
2020-07-30,100.449997,100.449997,96.110001,100.000000,92.387741,47286
2020-07-31,100.150002,100.150002,99.709999,99.900002,92.295372,42384
2020-08-03,99.989998,100.050003,98.000000,100.000000,92.387741,51783
2020-08-04,99.989998,99.989998,98.500000,99.000000,91.463875,52722
2020-08-05,99.029999,99.489998,98.000000,99.300003,91.741043,52749
2020-08-06,99.000000,99.190002,98.000000,98.000000,90.539986,16944
2020-08-07,99.419998,99.599998,98.019997,98.800003,91.279099,12623
2020-08-10,99.500000,99.900002,98.809998,99.830002,92.230698,19419
2020-08-11,99.790001,99.900002,99.220001,99.900002,92.295372,58739
2020-08-12,99.889999,99.889999,98.500000,98.500000,91.001923,15790
2020-08-13,99.500000,99.610001,99.019997,99.290001,91.731796,26943
2020-08-14,99.300003,99.610001,99.000000,99.500000,91.925812,12205
2020-08-17,99.470001,99.510002,98.040001,99.389999,91.824188,41919
2020-08-18,99.389999,99.779999,98.099998,99.500000,91.925812,50432
2020-08-19,99.500000,100.000000,99.010002,99.279999,91.722557,51016
2020-08-20,99.300003,99.300003,98.599998,99.199997,91.648651,28117
2020-08-21,98.989998,99.400002,98.620003,99.000000,91.463875,26453
2020-08-24,99.000000,99.389999,98.050003,99.000000,91.463875,25973
2020-08-25,99.169998,99.169998,98.900002,98.930000,91.399208,26720
2020-08-26,99.000000,99.199997,98.739998,99.000000,91.463875,9268
2020-08-27,99.000000,99.220001,98.150002,99.000000,91.463875,9114
2020-08-28,99.029999,99.190002,98.500000,98.650002,91.140511,48244
2020-08-31,98.730003,99.089996,98.300003,98.300003,90.817154,29336
2020-09-01,99.000000,99.000000,96.000000,98.660004,91.149757,36295
2020-09-02,98.610001,99.150002,98.099998,98.209999,90.734009,80045
2020-09-03,98.699997,98.989998,98.010002,98.059998,90.595436,36150
2020-09-04,98.400002,98.769997,98.059998,98.360001,90.872581,14205
2020-09-08,98.989998,99.760002,98.000000,98.000000,90.539986,63833
2020-09-09,99.000000,99.190002,98.559998,99.000000,91.463875,30772
2020-09-10,99.430000,99.430000,98.120003,98.120003,90.650864,38819
2020-09-11,98.199997,99.199997,98.199997,98.989998,91.454628,24265
2020-09-14,98.989998,99.199997,98.360001,98.989998,91.454628,21567
2020-09-15,98.980003,99.389999,98.750000,99.080002,91.537788,33391
2020-09-16,99.489998,99.580002,98.900002,99.480003,91.907326,9864
2020-09-17,99.589996,99.790001,98.900002,99.500000,91.925812,56659
2020-09-18,99.690002,99.989998,99.300003,99.980003,92.369278,15773
